time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-08T22:39:14.000Z,32.83784609287977,-117.24921131506562,3547.320068359375,98,22:39:14.000Z,30.070068359375,2,33.63337145996094
2021-05-08T22:39:15.000Z,32.83797441981733,-117.24915406666696,3562.52001953125,101,22:39:15.000Z,15.199951171875,1,34.002290771484375
2021-05-08T22:39:16.000Z,32.83809771761298,-117.24907854571939,3577.889892578125,"
                ",22:39:16.000Z,15.369873046875,1,34.38240600585937
2021-05-08T22:39:18.000Z,32.83831715583801,-117.2488721832633,3609.010009765625,"
                ",22:39:18.000Z,31.1201171875,2,34.80785107421875
2021-05-08T22:39:20.000Z,32.83848990686238,-117.24862173199654,3639.340087890625,"
                ",22:39:20.000Z,30.330078125,2,33.9241923828125
2021-05-08T22:39:22.000Z,32.83860716968775,-117.24834563210607,3668.280029296875,107,22:39:22.000Z,28.93994140625,2,32.369324462890624
2021-05-08T22:39:23.000Z,32.83865855075419,-117.24821009673178,3682.179931640625,107,22:39:23.000Z,13.89990234375,1,31.094081542968752
2021-05-08T22:39:25.000Z,32.83876055851579,-117.24794757552445,3709.219970703125,113,22:39:25.000Z,27.0400390625,2,30.244283691406253
2021-05-08T22:39:26.000Z,32.838809257373214,-117.24782302044332,3722.070068359375,112,22:39:26.000Z,12.85009765625,1,28.74566845703125
2021-05-08T22:39:30.000Z,32.83898200839758,-117.24739202298224,3766.72998046875,112,22:39:30.000Z,44.659912109375,4,24.97605584716797
2021-05-08T22:39:33.000Z,32.83916180022061,-117.24716160446405,3796.1298828125,115,22:39:33.000Z,29.39990234375,3,21.922527180989583
2021-05-08T22:39:38.000Z,32.83951761201024,-117.24682968109846,3846.35009765625,"
                ",22:39:38.000Z,50.22021484375,5,22.46852412109375
2021-05-08T22:39:45.000Z,32.83979270607233,-117.24655752070248,3886.169921875,118,22:39:45.000Z,39.81982421875,7,12.725278111049107
2021-05-08T22:39:47.000Z,32.83986680209637,-117.2465514857322,3894.719970703125,117,22:39:47.000Z,8.550048828125,2,9.563229614257812
2021-05-08T22:39:49.000Z,32.83992279320955,-117.24661476910114,3903.320068359375,116,22:39:49.000Z,8.60009765625,2,9.619209228515626
2021-05-08T22:39:52.000Z,32.83986353315413,-117.246780898422,3920.320068359375,"
                ",22:39:52.000Z,17.0,3,12.676333333333334
2021-05-08T22:39:54.000Z,32.83977007493377,-117.24687796086073,3934.110107421875,"
                ",22:39:54.000Z,13.7900390625,2,15.42415869140625
2021-05-08T22:40:01.000Z,32.839364390820265,-117.24716026335955,3986.2900390625,116,22:40:01.000Z,52.179931640625,7,16.67521529715402
2021-05-08T22:40:04.000Z,32.83923824317753,-117.24716261029243,4000.25,117,22:40:04.000Z,13.9599609375,3,10.4094775390625
2021-05-08T22:40:05.000Z,32.839194405823946,-117.24717702716589,4005.2099609375,114,22:40:05.000Z,4.9599609375,1,11.0954326171875
2021-05-08T22:40:06.000Z,32.83915509469807,-117.24720812402666,4010.429931640625,114,22:40:06.000Z,5.219970703125,1,11.677074462890625
2021-05-08T22:40:09.000Z,32.839075634256005,-117.24733041599393,4024.989990234375,"
                ",22:40:09.000Z,14.56005859375,3,10.856950358072917
2021-05-08T22:40:11.000Z,32.8391001932323,-117.24745404906571,4037.300048828125,"
                ",22:40:11.000Z,12.31005859375,2,13.768800537109376
2021-05-08T22:40:13.000Z,32.83921888098121,-117.24759721197188,4056.070068359375,108,22:40:13.000Z,18.77001953125,2,20.994266845703127
2021-05-08T22:40:14.000Z,32.83928509801626,-117.24768178537488,4066.860107421875,108,22:40:14.000Z,10.7900390625,1,24.1373173828125
2021-05-08T22:40:15.000Z,32.83934846520424,-117.24778773263097,4079.0,108,22:40:15.000Z,12.139892578125,1,27.156939697265628
2021-05-08T22:40:19.000Z,32.83954585902393,-117.24829651415348,4131.509765625,108,22:40:19.000Z,52.509765625,4,29.36608642578125
2021-05-08T22:40:23.000Z,32.83964543603361,-117.24885022267699,4184.5498046875,"
                ",22:40:23.000Z,53.0400390625,4,29.662641845703128
2021-05-08T22:40:28.000Z,32.839809972792864,-117.24937191233039,4236.7998046875,103,22:40:28.000Z,52.25,5,23.376649999999998
2021-05-08T22:40:29.000Z,32.83983184956014,-117.24941876716912,4241.81982421875,103,22:40:29.000Z,5.02001953125,1,11.22978369140625
2021-05-08T22:40:35.000Z,32.84001750871539,-117.24975362420082,4279.35986328125,"
                ",22:40:35.000Z,37.5400390625,6,13.996177897135416
2021-05-08T22:40:37.000Z,32.84013167023659,-117.24985906854272,4295.43994140625,"
                ",22:40:37.000Z,16.080078125,2,17.9855673828125
2021-05-08T22:40:39.000Z,32.840286400169134,-117.24995738826692,4314.91015625,99,22:40:39.000Z,19.47021484375,2,21.777435302734375
2021-05-08T22:40:43.000Z,32.84067892469466,-117.25020750425756,4364.35986328125,108,22:40:43.000Z,49.44970703125,4,27.654748657226563
2021-05-08T22:40:44.000Z,32.840786296874285,-117.25028973072767,4378.5400390625,108,22:40:44.000Z,14.18017578125,1,31.721053222656252
2021-05-08T22:40:48.000Z,32.841190891340375,-117.2506788186729,4436.35009765625,105,22:40:48.000Z,57.81005859375,4,32.330275268554686
2021-05-08T22:40:52.000Z,32.84148970618844,-117.25116136483848,4492.669921875,103,22:40:52.000Z,56.31982421875,4,31.496861694335937
2021-05-08T22:40:53.000Z,32.84152843058109,-117.2513070423156,4506.919921875,103,22:40:53.000Z,14.25,1,31.87725
2021-05-08T22:40:56.000Z,32.8416315279901,-117.25174809806049,4549.66015625,105,22:40:56.000Z,42.740234375,3,31.869968098958335
2021-05-08T22:40:57.000Z,32.84168994985521,-117.251897463575,4564.97021484375,109,22:40:57.000Z,15.31005859375,1,34.248601074218755
2021-05-08T22:40:58.000Z,32.841771338135004,-117.2520356811583,4580.6201171875,109,22:40:58.000Z,15.64990234375,1,35.00883154296875
2021-05-08T22:41:00.000Z,32.8419803828001,-117.25225562229753,4611.72998046875,113,22:41:00.000Z,31.10986328125,2,34.796382080078125
2021-05-08T22:41:01.000Z,32.84210284240544,-117.25233265198767,4627.10009765625,116,22:41:01.000Z,15.3701171875,1,34.382952148437504
2021-05-08T22:41:02.000Z,32.84223544411361,-117.25238746963441,4642.68017578125,115,22:41:02.000Z,15.580078125,1,34.852634765625
2021-05-08T22:41:04.000Z,32.8425295650959,-117.25242493674159,4675.580078125,114,22:41:04.000Z,32.89990234375,2,36.798540771484376
2021-05-08T22:41:06.000Z,32.84282720647752,-117.25239333696663,4708.77001953125,113,22:41:06.000Z,33.18994140625,2,37.122949462890624
2021-05-08T22:41:08.000Z,32.84311034716666,-117.25233030505478,4740.7001953125,116,22:41:08.000Z,31.93017578125,2,35.713901611328126
2021-05-08T22:41:09.000Z,32.84323884174228,-117.25229920819402,4755.240234375,121,22:41:09.000Z,14.5400390625,1,32.5260673828125
2021-05-08T22:41:10.000Z,32.84335870295763,-117.25227272138,4768.740234375,124,22:41:10.000Z,13.5,1,30.1995
2021-05-08T22:41:11.000Z,32.84347638487816,-117.25225914269686,4781.85986328125,124,22:41:11.000Z,13.11962890625,1,29.34860986328125
2021-05-08T22:41:12.000Z,32.843600185588,-117.25226283073425,4795.580078125,120,22:41:12.000Z,13.72021484375,1,30.69212060546875
2021-05-08T22:41:14.000Z,32.843849547207355,-117.25232963450253,4823.8701171875,117,22:41:14.000Z,28.2900390625,2,31.642408691406253
2021-05-08T22:41:16.000Z,32.84407258965075,-117.25250171497464,4853.419921875,115,22:41:16.000Z,29.5498046875,2,33.05145654296875
2021-05-08T22:41:20.000Z,32.84444818273187,-117.2529699280858,4913.919921875,114,22:41:20.000Z,60.5,4,33.834625
2021-05-08T22:41:22.000Z,32.84462705254555,-117.25318014621735,4941.85009765625,115,22:41:22.000Z,27.93017578125,2,31.239901611328126
2021-05-08T22:41:23.000Z,32.844729060307145,-117.25325927138329,4955.33984375,112,22:41:23.000Z,13.48974609375,1,30.17656201171875
2021-05-08T22:41:25.000Z,32.84493785351515,-117.25336748175323,4980.6298828125,115,22:41:25.000Z,25.2900390625,2,28.28690869140625
2021-05-08T22:41:26.000Z,32.84504547715187,-117.25339002907276,4992.7099609375,118,22:41:26.000Z,12.080078125,1,27.023134765625002
2021-05-08T22:41:27.000Z,32.84515536390245,-117.25338793359697,5004.89013671875,120,22:41:27.000Z,12.18017578125,1,27.247053222656252
2021-05-08T22:41:29.000Z,32.84536197781563,-117.25330579094589,5029.14990234375,124,22:41:29.000Z,24.259765625,2,27.134547851562502
2021-05-08T22:41:30.000Z,32.84544747322798,-117.25321652367711,5041.759765625,127,22:41:30.000Z,12.60986328125,1,28.20826416015625
2021-05-08T22:41:31.000Z,32.84551511518657,-117.25311225280166,5054.06005859375,131,22:41:31.000Z,12.30029296875,1,27.51575537109375
2021-05-08T22:41:32.000Z,32.845567502081394,-117.25298283621669,5067.490234375,135,22:41:32.000Z,13.43017578125,1,30.043303222656252
2021-05-08T22:41:33.000Z,32.845592480152845,-117.25284168496728,5080.990234375,134,22:41:33.000Z,13.5,1,30.1995
2021-05-08T22:41:34.000Z,32.845594910904765,-117.25269760005176,5094.47998046875,137,22:41:34.000Z,13.48974609375,1,30.17656201171875
2021-05-08T22:41:35.000Z,32.84558384679258,-117.25254580378532,5108.740234375,136,22:41:35.000Z,14.26025390625,1,31.900187988281253
2021-05-08T22:41:36.000Z,32.845558533445,-117.25238906219602,5123.68017578125,139,22:41:36.000Z,14.93994140625,1,33.42064892578125
2021-05-08T22:41:37.000Z,32.84552718512714,-117.25223014131188,5138.9599609375,142,22:41:37.000Z,15.27978515625,1,34.18087939453125
2021-05-08T22:41:41.000Z,32.84540707245469,-117.25155539810658,5203.509765625,145,22:41:41.000Z,64.5498046875,4,36.09947827148438
2021-05-08T22:41:42.000Z,32.84539952874184,-117.25139019079506,5218.93994140625,144,22:41:42.000Z,15.43017578125,1,34.51730322265625
2021-05-08T22:41:44.000Z,32.84542576409876,-117.25108433514833,5247.68994140625,145,22:41:44.000Z,28.75,2,32.156875
2021-05-08T22:41:45.000Z,32.84545426256955,-117.25095416419208,5260.25,148,22:41:45.000Z,12.56005859375,1,28.09685107421875
2021-05-08T22:41:47.000Z,32.84551067277789,-117.25075928494334,5279.52978515625,152,22:41:47.000Z,19.27978515625,2,21.564439697265627
2021-05-08T22:41:51.000Z,32.84558426588774,-117.2503352444619,5320.41015625,146,22:41:51.000Z,40.88037109375,4,22.862347534179687
2021-05-08T22:41:52.000Z,32.84556616097689,-117.25020356476307,5332.89990234375,141,22:41:52.000Z,12.48974609375,1,27.939562011718753
2021-05-08T22:41:53.000Z,32.84553783014417,-117.25006668828428,5346.080078125,139,22:41:53.000Z,13.18017578125,1,29.48405322265625
2021-05-08T22:41:55.000Z,32.845441019162536,-117.24979100748897,5374.0400390625,144,22:41:55.000Z,27.9599609375,2,31.273216308593753
2021-05-08T22:41:56.000Z,32.84538838081062,-117.24964172579348,5389.18994140625,150,22:41:56.000Z,15.14990234375,1,33.89033154296875
2021-05-08T22:41:57.000Z,32.84532836638391,-117.24949386902153,5404.52978515625,155,22:41:57.000Z,15.33984375,1,34.31523046875
